organizerName,eventTitle,dateTime,banner_link,logo_url,facebook,instagram,twitter,personal website,LinkedIn,Pinterest,WeChat,WhatsApp,TikTok,eventbrite event link
"Lora Brown, owner of LKB Investment Group, LLC",Infinite Design Cashflow: Design Your Wealth & Life!,"Tuesday, April 22 · 6 - 8pm PDT. Doors at 6:45pm",,,,,,https://lifedesignduo.com/,,,,,,https://www.eventbrite.com/e/infinite-design-cashflow-design-your-wealth-life-tickets-1315671000379?aff=ebdssbdestsearch
Yerbana,SOUND BATH SUNDAY - Val Vulfson and Amaris Harris,"Sunday, April 27 · 7:30 - 9pm PDT. Doors at 7pm",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F988797443%2F639998204513%2F1%2Foriginal.20250320-183758?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.497159090909&fp-y=0.557835820896&s=36228a1411798c63bef75c20d97ab022,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F298955109%2F639998204513%2F1%2Foriginal.20220607-205236?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=314%2C0%2C8887%2C8887&s=0bf080acb4154d8ceda94dab0cbd1df1,,,,http://www.yerbana.com/,,,,,,https://www.eventbrite.com/e/sound-bath-sunday-val-vulfson-and-amaris-harris-tickets-1296091878699?aff=ebdssbdestsearch
Meet People Social Seattle,Meet People Social Seattle | Cultural International Party,"Fri, 18 Apr 2025 5:30 PM - 10:00 PM GMT-7",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F733449489%2F188149727845%2F1%2Foriginal.20240402-090058?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C1683%2C3024%2C1512&s=31289e19cd3fcd748b880e0985dba770,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F882993883%2F188149727845%2F1%2Foriginal.20241024-224432?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1200%2C1200&s=07474eeef5e17b4eb842975d5a788f72,https://www.facebook.com/asobu.sydney,,,https://meetpeoplesocial.com/,,,,,,https://www.eventbrite.com.au/e/meet-people-social-seattle-cultural-international-party-tickets-1059334801909?aff=ebdssbdestsearch
Events Per Se,"Seattle Cinco De Mayo Bar Crawl Party 2025 | Saturday, May 3rd","Sat, May 3, 2025 8:00 PM - Sun, May 4, 2025 2:00 AM PDT",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F993204973%2F2151513834503%2F1%2Foriginal.20250326-143930?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=5e-05&fp-y=5e-05&s=58f20ac04b92d73be5488c2467faa529,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F897257803%2F1328730326083%2F1%2Foriginal.20241112-151256?w=481&auto=format%2Ccompress&q=75&sharp=10&rect=12%2C0%2C481%2C481&s=05fd47ab2696193e8f9aee1f059f34ea,,,,http://eventsperse.com/,,,,,,https://www.eventbrite.ca/e/seattle-cinco-de-mayo-bar-crawl-party-2025-saturday-may-3rd-tickets-1302035987689?aff=ebdssbdestsearch
WA Dojo,Tai Chi / Qigong Series Classes,"Sunday, April 20 · 11am - 12pm PDT",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F982554713%2F2618823386371%2F1%2Foriginal.20250313-024357?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.507575757576&fp-y=0.865894039735&s=d2e668a8e19e7e5c0e0965d8ee8a3051,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1003293653%2F2618823386371%2F1%2Foriginal.20250407-223756?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1080%2C1080&s=7dd8e3d1084ecb093f835fee01a419ad,,,,https://www.wadojo1.com/,,,,,,https://www.eventbrite.com/e/tai-chi-qigong-series-classes-tickets-1263089407419?aff=ebdssbdestsearch
Organizer name not found,Comedy Night at Wet Clay Cafe,"Wednesday, May 7 · 8 - 9:30pm PDT. Doors at 7pm",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1010072363%2F282288032264%2F1%2Foriginal.20250416-055526?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.478260869565&fp-y=0.592356687898&s=54e3fa972d12e24406c767b0f146544c,,,,,,,,,,,https://www.eventbrite.com/e/comedy-night-at-wet-clay-cafe-tickets-1303614067769?aff=ebdssbdestsearch
Seattle REconomy,Basic Bicycle Maintenance at the Shoreline Tool Library,"Tuesday, April 22 · 6 - 8pm PDT",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F917835533%2F1901445121703%2F1%2Foriginal.20241215-220156?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.34046692607&fp-y=0.209143968872&s=f14e5eac75c8425104c4878e07a92e1e,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F641104859%2F155151183725%2F1%2Foriginal.20231114-004545?w=208&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C208%2C208&s=1a05098007b25b2a866627ab02ddf2a8,,,,https://www.seattlereconomy.org/,,,,,,https://www.eventbrite.com/e/basic-bicycle-maintenance-at-the-shoreline-tool-library-tickets-1114992315029?aff=ebdssbdestsearch
Assistant Regional Head Instructor Michelle Judy,Women's Self Defense Seminar,"Friday, April 25 · 7 - 8:30pm PDT",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F759297589%2F209100115123%2F1%2Foriginal.20240503-232533?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=638%2C1319%2C3010%2C1505&s=e8baefa30ee55b375bd3a62d11419812,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F135674103%2F209100115123%2F1%2Foriginal.20210517-214602?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=117%2C329%2C2456%2C2456&s=3c41dbd585cba19f6e442faadd7d406b,https://www.facebook.com/KirlandOYDMartialArts,,,http://www.martialartskirkland.org/,,,,,,https://www.eventbrite.com/e/womens-self-defense-seminar-tickets-1285396518589?aff=ebdssbdestsearch
Strive Networking,General Business Networking | Elevating Your Potential - Seattle,"Wednesday, June 4 · 6 - 8pm PDT",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F920400033%2F2244249934723%2F1%2Foriginal.20241219-160904?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=0ebff09a3a137da57e138e08a5682f7e,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F878434819%2F1764357700343%2F1%2Foriginal.20241018-211313?w=162&auto=format%2Ccompress&q=75&sharp=10&rect=17%2C0%2C162%2C162&s=ddd018e62c0d67749c0daa771fd96d48,,,,https://strive-networking.com/,,,,,,https://www.eventbrite.com/e/general-business-networking-elevating-your-potential-seattle-tickets-1268767500749?aff=ebdssbdestsearch
Substation,Austin Millz,April 26 · 10pm - April 27 · 2am PDT,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1010379263%2F293595957504%2F1%2Foriginal.20250416-145212?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.485629562044&fp-y=0.0149156741131&s=949a8a2f7327c7910b03443391521861,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F603559589%2F293595957504%2F1%2Foriginal.20230921-190848?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=119%2C383%2C793%2C793&s=6a94ac3094ca2b84d697bfef192b6407,https://www.facebook.com/substationseattle,,https://www.twitter.com/substation206,http://www.substationseattle.com/,,,,,,https://www.eventbrite.com/e/austin-millz-tickets-1319411919569?aff=ebdssbdestsearch
